time,ax,ay,az,atotal
6.284,-2.94,2.16,2.77,4.58
6.294,-3.31,2.14,3.36,5.17
6.304,-3.45,2.03,3.96,5.64
6.314,-3.50,2.04,4.48,6.04
6.324,-3.47,2.26,4.78,6.33
6.334,-3.37,2.46,4.80,6.36
6.344,-3.53,2.67,4.62,6.40
6.354,-3.98,2.88,4.22,6.48
6.364,-4.38,3.11,3.80,6.58
6.374,-4.72,3.28,3.55,6.76
6.384,-4.82,3.48,3.55,6.92
6.395,-4.68,3.64,3.70,7.00
6.405,-4.44,3.70,3.94,6.99
6.415,-4.18,3.63,3.99,6.83
6.425,-3.95,3.38,3.80,6.43
6.435,-3.58,3.07,3.50,5.87
6.445,-3.16,2.81,3.11,5.25
6.455,-2.74,2.61,2.68,4.64
6.465,-2.18,2.33,2.09,3.81
6.475,-1.28,1.89,1.37,2.66
6.485,0.03,1.21,0.11,1.21
6.495,1.93,0.22,-2.78,3.39
6.505,4.63,-1.39,-8.03,9.38
6.515,8.08,-4.50,-14.47,17.18
