time,ax,ay,az,atotal
6.052,-0.02,0.04,0.05,0.07
6.062,-0.04,0.03,0.02,0.05
6.072,-0.02,0.00,-0.07,0.07
6.082,-0.00,0.01,-0.05,0.05
6.092,-0.01,0.00,0.04,0.05
6.102,-0.04,-0.02,0.07,0.09
6.112,0.02,0.02,0.03,0.04
6.122,-0.02,0.03,-0.00,0.04
6.133,-0.02,0.01,-0.01,0.02
6.143,-0.01,0.01,0.04,0.05
6.153,-0.02,0.00,0.01,0.02
6.163,-0.02,0.00,-0.01,0.02
6.173,-0.01,0.03,0.00,0.04
6.183,0.01,0.02,0.05,0.05
6.193,-0.00,-0.00,0.03,0.03
6.203,0.01,-0.02,0.02,0.03
6.213,0.02,-0.01,0.01,0.02
6.223,-0.01,-0.03,0.01,0.03
6.233,-0.02,-0.05,0.00,0.05
6.243,-0.00,-0.04,-0.03,0.05
6.253,0.00,-0.04,-0.04,0.05
6.263,0.02,-0.02,-0.01,0.03
6.274,0.03,0.00,-0.02,0.03
6.283,0.01,0.01,-0.03,0.03
6.294,0.01,-0.01,-0.02,0.02
6.304,0.03,-0.04,-0.00,0.05
6.314,0.02,-0.01,-0.03,0.04
6.324,-0.01,-0.01,-0.03,0.04
6.334,-0.02,-0.02,-0.01,0.03
6.344,-0.01,-0.00,0.01,0.02
6.354,-0.02,-0.00,0.00,0.02
6.364,-0.03,0.01,0.00,0.04
6.374,-0.02,0.02,0.02,0.03
6.384,-0.01,0.01,0.03,0.03
6.394,-0.02,0.01,0.02,0.03
6.404,-0.03,0.03,0.03,0.05
6.414,-0.01,0.01,0.03,0.03
6.424,-0.00,-0.01,0.04,0.04
6.435,-0.02,-0.00,0.01,0.02
6.445,-0.02,0.01,-0.05,0.06
6.455,-0.02,-0.00,-0.02,0.03
6.465,0.01,-0.02,-0.02,0.03
6.475,-0.00,-0.02,-0.00,0.02
6.485,0.02,-0.01,0.01,0.02
