time,ax,ay,az,atotal
4.491,0.17,0.24,0.09,0.30
4.501,0.31,0.22,0.07,0.39
4.512,0.45,0.22,0.06,0.50
4.522,0.52,0.24,0.04,0.57
4.532,0.51,0.25,0.01,0.57
4.542,0.46,0.29,-0.04,0.54
4.552,0.42,0.30,-0.08,0.52
4.562,0.32,0.25,-0.12,0.42
4.572,0.15,0.11,-0.17,0.25
4.582,-0.06,-0.05,-0.23,0.24
4.592,-0.25,-0.15,-0.26,0.39
4.602,-0.38,-0.20,-0.25,0.50
4.612,-0.45,-0.21,-0.25,0.56
4.622,-0.51,-0.21,-0.24,0.61
4.632,-0.51,-0.17,-0.23,0.58
4.642,-0.40,-0.06,-0.23,0.46
4.652,-0.20,0.03,-0.19,0.28
4.662,-0.03,0.07,-0.15,0.17
4.673,0.13,0.10,-0.09,0.18
4.683,0.22,0.14,-0.02,0.26
4.693,0.31,0.18,0.02,0.36
4.703,0.32,0.21,0.09,0.40
4.713,0.31,0.24,0.12,0.41
4.723,0.29,0.21,0.18,0.40
4.733,0.22,0.17,0.22,0.35
4.743,0.08,0.09,0.25,0.27
4.753,-0.09,-0.04,0.24,0.26
4.763,-0.26,-0.15,0.21,0.37
4.773,-0.41,-0.20,0.16,0.48
4.783,-0.49,-0.19,0.07,0.53
4.793,-0.56,-0.19,-0.04,0.59
4.803,-0.58,-0.16,-0.13,0.61
4.814,-0.50,-0.09,-0.21,0.55
4.824,-0.34,-0.03,-0.27,0.43
4.834,-0.16,0.01,-0.25,0.30
4.844,-0.01,0.03,-0.19,0.19
4.854,0.08,0.05,-0.12,0.15
4.864,0.06,0.02,-0.05,0.08
4.874,0.05,0.01,-0.01,0.05
4.884,0.05,0.03,-0.02,0.06
4.894,0.06,0.06,-0.01,0.09
4.904,0.05,0.10,0.04,0.12
4.914,0.01,0.12,0.09,0.15
4.924,-0.02,0.11,0.10,0.15
4.934,-0.08,0.05,0.10,0.13
4.944,-0.12,-0.00,0.06,0.13
4.954,-0.12,-0.02,0.00,0.12
4.965,-0.11,-0.04,-0.06,0.13
4.975,-0.09,-0.02,-0.12,0.15
4.985,-0.08,-0.01,-0.16,0.18
4.995,-0.07,0.01,-0.16,0.18
5.005,-0.12,0.01,-0.17,0.20
5.015,-0.23,0.01,-0.17,0.28
5.025,-0.25,0.01,-0.17,0.31
5.035,-0.22,-0.01,-0.19,0.28
5.045,-0.16,-0.00,-0.18,0.24
5.055,-0.09,-0.01,-0.16,0.19
5.065,-0.04,-0.01,-0.13,0.14
5.076,0.02,0.03,-0.13,0.14
5.085,0.04,0.08,-0.15,0.17
5.095,0.05,0.10,-0.16,0.20
5.106,0.06,0.11,-0.16,0.20
5.116,0.09,0.11,-0.17,0.23
5.126,0.09,0.10,-0.13,0.19
5.136,0.09,0.07,-0.10,0.15
5.146,-0.00,0.06,-0.06,0.08
5.156,-0.13,0.05,-0.02,0.14
5.166,-0.19,0.02,0.01,0.20
5.176,-0.16,-0.01,-0.01,0.16
5.186,-0.13,-0.01,-0.04,0.13
5.196,-0.11,-0.00,-0.05,0.12
5.206,-0.11,0.00,-0.07,0.13
5.216,-0.08,-0.01,-0.08,0.11
5.227,-0.09,-0.01,-0.03,0.10
5.236,-0.10,-0.03,-0.05,0.12
5.247,-0.11,-0.03,-0.07,0.13
5.257,-0.10,-0.04,-0.10,0.15
5.267,-0.12,-0.03,-0.13,0.18
5.277,-0.13,0.02,-0.13,0.18
5.287,-0.13,0.06,-0.14,0.20
5.297,-0.10,0.11,-0.14,0.21
